name\Field	resource_class	commodity	trade_class	trade_unit	start_price	#2015	#2025	#2035	gui_ea	currency_unit	unique_type	is_extraction	convert_extraction	is_volatile	sort_override	mass_err_mult
Type	TABLE_ROW	BOOL	Enums.TradeClasses	STRING_NAME	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	BOOL	Enums.Types	BOOL	TABLE_ROW	BOOL	INT	FLOAT
Unit					$/t	$/t	$/t	$/t								
Default		TRUE		t											0	1
Prefix/RESOURCE_	RESOURCE_CLASS_		TRADE_CLASS_										RESOURCE_			
ELECTRICITY	ENERGY		ELECTRICITY	MWh	47 $/MWh	133 $/MWh	47 $/MWh	72 $/MWh			ELECTRICITY					
HYDROGEN	ENERGY		CRYOGENIC		3 $/kg	1.5 $/kg	3 $/kg	2.5 $/kg				x		x		
METHANE	ENERGY		CRYOGENIC		300	150	300	250				x		x		
METHANOL	ENERGY		LIQUID		750	400	750	1000				x		x		
ETHANOL	ENERGY		LIQUID		600	650	600	1120						x		
LIQ_HYDROCARBONS	ENERGY		LIQUID		850	550	850	800						x		
SOLID_FUELS	ENERGY		BULK		15 $/kg	12 $/kg	15 $/kg	14 $/kg								
COAL	ENERGY		BULK		130	60	130	100				x				
OIL	ENERGY		LIQUID		550	380	550	500				x		x		
LE_URANIUM_FUEL	ENERGY		BULK	kg	3.5 $/g	2.5 $/g	3.5 $/g	3 $/g								
HE_URANIUM_FUEL	ENERGY		BULK	kg	20 $/g	15 $/g	20 $/g	18 $/g								
THORIUM_FUEL	ENERGY		BULK	kg	2.5 $/g	3 $/g	2.5 $/g	2 $/g								
DEUTERIUM	ENERGY		PRECIOUS	kg	2.5 $/g	3 $/g	2.5 $/g	2 $/g						x		
HELIUM_3	ENERGY		PRECIOUS	g	22500 $/g	22500 $/g	22500 $/g	22500 $/g				x		x		
SPENT_URANIUM_FUEL	ENERGY		BULK	kg	80 $/kg	50 $/kg	80 $/kg	120 $/kg								
SPENT_THORIUM_FUEL	ENERGY		BULK	kg	70 $/kg	40 $/kg	70 $/kg	100 $/kg								
IRON_NICKEL	ORES		BULK		800	600	800	750				x				
IRON_ORES	ORES		BULK		90	45	90	80				x				
ALUMINIUM_ORES	ORES		BULK		55	35	55	50				x				
INDUST_METAL_ORES	ORES		BULK		550	350	550	480				x				
PRECIOUS_METAL_ORES	ORES		BULK		4500	2500	4500	5000				x				5
RARE_EARTH_ORES	ORES		BULK		5000	2000	5000	5500				x				
URANIUM_ORES	ORES		BULK		8000	3500	8000	7000				x				
SULFUR	ORES		BULK		150	80	150	130				x				
ORGANICS_THOLINS	ORES		BULK		75	50	75	70				x				
INDUST_MINERALS	ORES		BULK		45	30	45	40				x				
STONE	ORES		BULK		25	15	25	25				x			-90	
REGOLITH	ORES		BULK		8	5	8	8				x			-100	
WATER	VOLATILES		ICE		1.5	1	1.5	2				x		x		
OXYGEN	VOLATILES		CRYOGENIC		80	60	80	75				x		x		
NITROGEN	VOLATILES		CRYOGENIC		70	50	70	65				x		x		
CARBON_DIOXIDE	VOLATILES		ICE		100	60	100	120				x		x		
CARBON_MONOXIDE	VOLATILES		ICE		350	250	350	300				x		x		
AMMONIA	VOLATILES		LIQUID		500	350	500	450				x		x		
ETHANE	VOLATILES		CRYOGENIC		350	200	350	300				x		x		
SULFUR_DIOXIDE	VOLATILES		ICE		300	200	300	280				x		x		
HELIUM	VOLATILES		CRYOGENIC		50 $/kg	30 $/kg	50 $/kg	40 $/kg				x		x		
ARGON	VOLATILES		CRYOGENIC		1200	800	1200	1000				x		x		
HEAVY_NOBLE_GASES	VOLATILES		CRYOGENIC	kg	250 $/kg	140 $/kg	250 $/kg	220 $/kg				x		x		
INDUST_CHEMICALS	VOLATILES		LIQUID		250	180	250	230						x		
FINE_CHEMICALS	VOLATILES		PRECIOUS	kg	12 $/kg	10 $/kg	12 $/kg	11 $/kg						x		
IRON	MATERIALS		BULK		408	287	408	480								
STEEL	MATERIALS		BULK		700	400	700	600								
ALUMINIUM	MATERIALS		BULK		2400	1660	2400	2200								
INDUST_METALS	MATERIALS		BULK		5500	3700	5500	5000								
PRECIOUS_METALS	MATERIALS		PRECIOUS	g	78 $/g	36 $/g	78 $/g	85 $/g								
RARE_EARTHS	MATERIALS		PRECIOUS	kg	50 $/kg	25 $/kg	50 $/kg	45 $/kg								
URANIUM	MATERIALS		PRECIOUS	kg	185 $/kg	80.5 $/kg	185 $/kg	236 $/kg								
DEPLETED_URANIUM	MATERIALS		BULK		10	5	10	30								
THORIUM	MATERIALS		PRECIOUS	kg	26 $/kg	12 $/kg	26 $/kg	32 $/kg								
CARBON	MATERIALS		BULK		242	250	242	350								
CONCRETE	MATERIALS		BULK		50	35	50	45								
GLASS_CERAMICS	MATERIALS		BULK		550	400	550	500								
SEMICONDUCTOR_MAT	MATERIALS		BULK	kg	60 $/kg	50 $/kg	60 $/kg	50 $/kg								
POLYMERS	MATERIALS		BULK		1500	1200	1500	1400								
COMPOSITES	MATERIALS		BULK		10 $/kg	8 $/kg	10 $/kg	8 $/kg								
TECHNICAL_TEXTILES	MATERIALS		BULK	kg	15 $/kg	12 $/kg	15 $/kg	14 $/kg								
MUNICIPAL_WASTE	MATERIALS		BULK		25	15	25	35								
INDUST_WASTE	MATERIALS		BULK		40	25	40	60								
RADIOACTIVE_WASTE	MATERIALS		BULK		100	50	100	200								
INFRASTRUCTURE	MANUFACTURED	FALSE														
HEAVY_TRANSPORTS	MANUFACTURED	FALSE														
TRANSPORT_SYSTEMS	MANUFACTURED		BULK		20 $/kg	15 $/kg	20 $/kg	20 $/kg								
ROBOTICS	MANUFACTURED		BULK	kg	60 $/kg	50 $/kg	60 $/kg	50 $/kg								
BATTERIES	MANUFACTURED		BULK		20 $/kg	40 $/kg	20 $/kg	18 $/kg								
SOLAR_PANELS	MANUFACTURED		BULK		3 $/kg	11 $/kg	3 $/kg	2.5 $/kg								
STEEL_STRUCTURES	MANUFACTURED		BULK		2500	1500	2500	2200								
ALUMINIUM_STRUCTURES	MANUFACTURED		BULK		7000	5000	7000	6500								
COMPOSITE_STRUCTURES	MANUFACTURED		BULK	kg	60 $/kg	50 $/kg	60 $/kg	50 $/kg								
HEAVY_MACHINERY	MANUFACTURED		BULK		7 $/kg	5 $/kg	7 $/kg	7 $/kg								
ELECTRICAL_EQUIPMENT	MANUFACTURED		BULK		10 $/kg	8 $/kg	10 $/kg	10 $/kg								
PRECISION_EQUIPMENT	MANUFACTURED		PRECIOUS	kg	100 $/kg	80 $/kg	100 $/kg	95 $/kg								
ELECTRONICS	MANUFACTURED		PRECIOUS	kg	75 $/kg	60 $/kg	75 $/kg	70 $/kg								
TENSOR_PROCESSORS	MANUFACTURED		PRECIOUS	g	12 $/g	5 $/g	12 $/g	10 $/g								
NEUROMORPHIC_PROCESSORS	MANUFACTURED		PRECIOUS	g	20 $/g	15 $/g	20 $/g	12 $/g								
CONSUMER_GOODS	MANUFACTURED		BULK		10 $/kg	8 $/kg	10 $/kg	10 $/kg								
